"","sim_num","time","rs","no","n_alive","n_kind","n_realist","n_selfish","vital.space","nf","Rep","fbs","fbsChar","init"
"447","S149",2000,4,0,15,15,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"450","S150",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"453","S151",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"456","S152",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"459","S153",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"462","S154",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"465","S155",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"468","S156",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"471","S157",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"474","S158",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"477","S159",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"480","S160",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"483","S161",2000,4,0,25,25,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"486","S162",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"489","S163",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"492","S164",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"495","S165",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"498","S166",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"501","S167",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"504","S168",2000,4,0,22,22,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"507","S169",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"510","S170",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"513","S171",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"516","S172",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"519","S173",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"522","S174",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"525","S175",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"528","S176",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"531","S177",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"534","S178",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"537","S179",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"540","S180",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"543","S181",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"546","S182",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"549","S183",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"552","S184",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"555","S185",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"558","S186",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"561","S187",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"564","S188",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"567","S189",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"570","S190",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"573","S191",2000,4,0,21,21,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"576","S192",2000,4,0,23,23,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"579","S193",2000,4,0,19,19,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"582","S194",2000,4,0,16,16,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"585","S195",2000,4,0,17,17,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"588","S196",2000,4,0,20,20,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
"591","S197",2000,4,0,18,18,0,0,0.923106497500961,5,0,0.625,"(5,4)","kind"
